"BlackRock European Dynamic D Acc","GB00B5W2QB11","Europe Excluding UK","42910.500480","244.238000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","122.282258","105.964208","122.537090","114.717461","128.461841","137.436917","","",""
"Liontrust European Dynamic I Inc","GB00B4ZM1M76","Europe Excluding UK","24083.720090","98.791000","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","122.104500","97.244629","121.137341","85.869701","115.505703","94.700291","","",""
"Baillie Gifford European B Acc","GB0006058258","Europe Excluding UK","13011.353830","251.956000","Large Growth","Large Growth","Mid Growth","Mid Growth","Large Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Large Growth","","120.651409","132.510183","113.412903","140.458135","117.549496","200.523744","","",""
"Premier Miton European Opports B Acc","GB00BZ2K2M84","Europe Excluding UK","5309.323140","312.072000","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","","Mid Growth","Mid Growth","118.934859","99.859050","112.895082","114.308559","105.739873","151.389378","","",""
"Federated Hermes SustEurpexUKEq F GBPAcc","IE00B59G6L68","Europe Excluding UK","26907.635710","250.942000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","","118.506100","118.309813","113.196727","115.231404","124.776228","149.336059","","",""
"Comgest Growth Europe ex UK GBP SU H Acc","IE00BRTM4M55","Europe Excluding UK","46404.493010","281.554000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","","","","117.037712","94.753275","108.662150","115.610389","105.531688","150.844547","","",""
"SVM Continental Europe Instl","GB0032094954","Europe Excluding UK","6996.541270","84.720000","Mid Blend","Mid Blend","Mid Blend","Mid Blend","Mid Blend","Mid Blend","Mid Value","Mid Blend","Mid Blend","Mid Blend","Mid Value","","116.547963","93.837014","125.094109","90.695585","90.873199","95.078227","","",""
"FTF Martin Currie Eurp Uncons W Acc £","GB00BP9LK978","Europe Excluding UK","33282.932920","261.942000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","115.118814","114.688485","110.192281","130.157121","117.582370","184.199152","","",""
"Quilter Inv Eurp (ex UK) Eq Gr U2 GBPAcc","GB00B98WPN88","Europe Excluding UK","30254.840750","255.624000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","114.357120","111.799166","118.797090","134.918521","125.631358","187.493030","","",""
"Amundi MSCI EMU ESG Ldrs Sel RHG-C","LU0987205704","Europe Excluding UK","36092.856800","93.558000","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","Large Value","","","","","","111.551030","115.341369","108.258603","118.376390","114.870731","122.271911","","",""
"Man GLG Continental Eurp Gr PrfAcc£ H CH","GB00BYNRH370","Europe Excluding UK","59719.234840","274.560000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","","110.405545","111.226735","101.899901","119.211438","108.615343","153.342446","","",""
