,Allianz UK Listed Opports C Acc GBP,Artemis SmartGARP UK Eq Fd I Acc GBP,Artemis UK Select I Acc,ASI UK Sustainable & Rspnb Invmt Eq IAcc,Aviva Investors UK Lstd Eq Uncons2GBPAcc,Aviva Investors UK Lstd S&M Cap2 GBP Acc,BlackRock UK Special Situations D Acc,BMO Responsible UK Equity 2 Acc,CFP SDL Free Spirit General Acc,ES R&M UK Recovery B Inc
ISIN,GB00B8BB9445,GB00B2PLJM64,GB00B2PLJG05,GB00B131GD17,GB0004460357,GB0004460571,GB00B3V1C060,GB0033396481,GB00BYYQC271,GB00B614J053
Return.224,0.683037,0.55137,0.495254,1.253224,0.983697,1.270965,0.919149,1.013673,1.034812,0.122013
Return.225,-0.291545,-1.232822,-0.402977,0.138517,-0.954184,-0.562997,-0.168663,0.070012,-0.210095,-1.346088
Return.226,-0.759109,-0.469292,-1.372317,0.129401,-1.245095,-1.467362,-1.115053,-0.209888,-0.047371,-1.346693
Return.227,-0.475948,-0.014628,2.146562,1.635472,0.855811,2.231427,1.349735,1.028278,0.631912,0.206235
Return.228,1.007686,1.995533,0.478359,-0.228,0.270222,0.060891,0.37087,-0.092528,0.565149,0.599463
Return.229,1.882539,1.607937,2.326943,2.478576,1.815938,2.045641,1.881088,1.250289,1.644292,1.989008
Return.230,2.052445,2.0187,1.949344,1.260774,1.788497,1.380766,1.088032,1.760805,0.4249,1.783056
Return.231,-1.078766,-4.195514,-2.621014,-0.355736,-2.568776,-0.171942,-1.272016,-0.94382,-0.606617,-2.74895
Return.232,0.800088,2.429384,1.925944,1.436525,1.336958,2.007932,2.229931,1.043557,1.61555,2.398031
Return.233,1.886485,1.327831,1.498611,1.013952,0.465208,1.166382,1.438035,1.459362,0.696512,1.532976
Return.234,-1.360653,-1.508039,-2.240767,-1.845784,-2.072717,-1.205639,-1.608793,-1.150697,-1.057591,-1.290163
Return.235,1.271232,-0.020723,0.070622,-0.278905,-0.627971,-0.691311,-0.566618,-0.470114,-0.901722,-0.945791
Return.236,0.667699,0.657142,0.95211,-1.15264,0.720058,-0.467813,-0.097688,-0.449843,-1.46713,0.318801
Return.237,-0.848987,-0.278456,-2.696935,-4.321358,-1.214848,-3.937752,-3.09648,-2.417533,-3.159533,-1.15707
Return.238,-0.588676,1.464218,-0.591142,-0.595932,1.480301,-1.114337,-0.420451,0.115768,-0.492875,0.115141
Return.239,2.282515,3.006896,2.308892,1.437908,1.797826,0.622633,2.752913,1.341351,0.990632,1.709842
Return.240,0.042105,-0.280642,-0.779527,0.950942,-1.232088,-0.764652,-0.262985,0.684619,1.034225,-0.358202
Return.241,-0.231481,-0.668681,0.548332,-0.365349,0.166162,0.168334,-0.247198,0.838622,-0.738708,-0.419801
Return.242,1.977431,0.39575,0.55528,1.762757,0.316918,1.259201,1.139931,2.06788,1.940251,0.873425
Return.243,0.144785,0.199578,-0.080299,0.290874,0.310981,-0.500222,-0.032669,0.814799,-0.338948,0.421081
Return.244,-0.536996,-1.607866,-2.357756,-0.753214,-1.877322,0.03054,-0.767974,-1.33246,0.209293,-2.165807
Return.245,-2.533354,-2.43793,-3.003482,-3.101147,-1.817954,-3.910287,-3.243866,-2.03675,-3.127611,-3.300123
Return.246,1.331558,1.876367,0.258476,-0.333093,1.253991,1.437126,1.735875,0.248588,0.522826,0.502266
Return.247,0.720105,1.70449,1.923152,0.821967,1.765626,1.35171,1.221144,1.983769,1.034853,2.61048
Return.248,-1.0907,-0.968221,-1.329876,-1.352804,-0.753482,-2.191898,-2.363246,-0.994695,-1.103858,-1.763511
Return.249,2.369018,1.659827,3.21737,2.361275,2.017881,2.778183,2.995938,2.210315,1.524014,2.458404
Return.250,0.680342,0.417632,-0.074007,0.403691,0.132191,1.444957,0.755957,0.524246,1.004281,0.427809
Return.251,1.049452,1.942339,1.923101,-2.200327,1.747995,-2.233308,-1.109118,-1.760104,-3.145115,2.2121
Return.252,1.36785,1.996334,0.838722,-2.498306,2.527692,-2.329629,-1.368959,-1.526211,-2.123406,1.93711
Return.253,-0.329852,-1.622358,-1.822268,-1.881197,-1.04755,-1.818803,-1.956522,-1.662174,-0.518907,-1.321481
Return.254,-2.070902,-1.290286,-2.214371,-2.852286,-0.869174,-3.563258,-2.711922,-2.535404,-5.321569,-2.033596
Return.255,1.25448,1.898366,0.6361,-0.116663,-0.004778,-0.203697,0.105189,0.023436,0.4806,0.56865
Return.256,1.117573,1.93008,2.305825,-0.1606,1.961534,0.800951,1.050788,0.117151,-0.536631,2.097935
Return.257,-0.790158,-0.971766,-2.515817,-1.623203,-1.755085,-2.381196,-2.634315,-1.240346,-2.093596,-1.25727
Return.258,-2.908559,-5.908524,-3.667038,-2.977901,-3.746989,-3.702245,-3.457805,-2.962085,-3.210542,-4.259624
Return.259,-5.612377,-9.235419,-7.675101,-5.576835,-7.225691,-5.3606,-6.676645,-4.859585,-4.065846,-6.857698
Return.260,3.074807,5.060534,3.986261,3.272216,3.234509,3.70221,3.779962,3.413758,0.612824,3.479388
